,cep_5_digitos,lat,lon
0,72805,-16.2535456,-47.9500276
1,26315,-22.7156978,-43.555754
2,95480,-29.0489517,-50.145412
3,77019,-10.1837852,-48.3336423
4,96070,-31.7699736,-52.3410161
5,85887,-25.2404183,-53.9835004
6,16901,-20.896505,-51.3742765
7,79837,-22.2206145,-54.812208
8,17063,-22.3218102,-49.0705863
9,72901,-15.9465415,-48.2616527
10,14820,-21.7297099,-48.1052092
11,09770,-23.7080345,-46.5506747
12,88930,-28.894109999999998,-49.725390543121556
13,65260,-2.000269,-44.528114
14,29200,-20.6718755,-40.4984617
15,59410,-5.9514918,-35.9260284
16,65606,-4.8654201,-43.353664
17,79841,-22.2206145,-54.812208
18,75256,-16.7013233,-49.0914921
19,55355,-8.894516849999999,-36.73692078185357
20,62365,-4.0453849,-40.7527195
21,94824,-29.9981184,-51.0772509
22,38540,-18.3735,-47.48550892857143
23,13030,-22.90556,-47.06083
24,96415,-31.3314264,-54.1062808
25,50865,-8.0584933,-34.8848193
26,74923,-16.8226769,-49.2452546
27,59225,-6.4290483,-36.2035537
28,89906,-26.66466365,-53.655228452019564
29,95230,-28.3162856,-51.1836226
30,58180,-6.7562744,-36.4673179
31,20540,-22.9110137,-43.2093727
32,32656,-19.968056,-44.198333
33,76550,-13.444663,-49.1423569
34,39505,-14.98209675,-43.263597746052625
35,89819,-26.9853947,-52.603549
36,06443,-23.5112184,-46.8764612
37,11708,-24.005833,-46.402778
38,11606,-23.8027866,-45.4070527
39,98995,-27.9061459,-55.1395757
40,81720,-25.4295963,-49.2712724
41,97560,-30.3818093,-56.4526576
42,19034,-22.1225167,-51.3882528
43,77770,-7.7132054,-47.3154841
44,29213,-20.6718755,-40.4984617
45,88119,-27.6157733,-48.6276491
46,68680,-2.4166306,-48.1522907
47,94970,-29.9493353,-51.0898927
48,29913,-19.3816944,-40.0612213
49,84178,-24.794072,-49.9972914
50,91792,-30.0324999,-51.2303767
51,46220,-14.4072692,-42.0766717
52,36225,-21.431111,-43.966111
53,44500,-12.7616941,-39.4281088
54,28200,-21.6348588,-41.0487079
55,77017,-10.1837852,-48.3336423
56,18630,-22.796764500000002,-48.146295431151586
57,49120,-10.9961671,-37.3045841
58,23880,-22.9096537,-43.9148788
59,13916,-22.70374,-46.985062
60,58115,-7.1475216,-35.9613355
61,36815,-20.7292242,-42.2785942
62,63250,-7.3106846,-38.9447146
63,72125,-15.7934036,-47.8823172
64,23545,-22.9110137,-43.2093727
65,17533,-22.217108,-49.95006
66,25212,-22.7896225,-43.309929
67,31070,-19.9227318,-43.9450948
68,84016,-25.0891685,-50.1601812
69,37405,-21.757778,-45.541111
70,88051,-27.5973002,-48.5496098
71,08742,-23.5234284,-46.1926671
72,78149,-15.645816,-56.132218
73,70276,-15.7934036,-47.8823172
74,65895,-7.08562,-45.1397421
75,59157,-5.9153334,-35.2679913
76,22050,-22.9110137,-43.2093727
77,29010,-20.3200917,-40.3376682
78,04858,-23.5506507,-46.6333824
79,64019,-5.0896403,-42.809588
80,89216,-26.3044898,-48.8486726
81,15804,-21.1331035,-48.9712817
82,07404,-23.396266,-46.3175449
83,24710,-22.8219014,-43.0309252
84,38210,-19.9090891,-48.701683
85,26043,-22.7592175,-43.4508728
86,17208,-22.293585,-48.559193
87,94199,-29.9440222,-50.9930938
88,13320,-23.1989983,-47.2913682
89,75132,-16.3332828,-48.9525756
90,74956,-16.8226769,-49.2452546
91,81480,-25.4295963,-49.2712724
92,58735,-7.221036,-37.252477
93,81900,-25.4295963,-49.2712724
94,35315,-19.8836782,-42.02209290990928
95,09836,-23.7080345,-46.5506747
96,12955,-23.1353864,-46.4648052
97,89893,-27.1020777,-53.399242
98,20973,-22.9110137,-43.2093727
99,65036,-2.5295265,-44.2963942
100,61619,-3.7300563,-38.6593082
101,28909,-22.8804369,-42.0189227
102,72130,-15.7934036,-47.8823172
103,93212,-29.8197019,-51.1608722
104,64012,-5.0896403,-42.809588
105,72035,-15.7934036,-47.8823172
106,59070,-5.805398,-35.2080905
107,46110,-14.29507325,-41.659307508575985
108,45230,-14.1627902,-40.0069366
109,09726,-23.7080345,-46.5506747
110,58424,-7.2246743,-35.8771292
111,21854,-22.9110137,-43.2093727
112,77059,-10.1837852,-48.3336423
113,99713,-27.6350709,-52.2738654
114,61925,-3.8779438,-38.6247697
115,99200,-28.8471928,-51.8907881
116,78548,-10.8495357,-55.1780435
117,07836,-23.3328038,-46.724446
118,25958,-22.4164578,-42.975194
119,27130,-22.4703403,-43.8263256
120,40024,-12.9822499,-38.4812772
121,17026,-22.3218102,-49.0705863
122,27940,-22.3712958,-41.7866922
123,85415,-24.6176963,-53.3218057
124,65190,-2.5076725,-43.4385918
125,15470,-20.389344,-49.4320384
