,cep_5_digitos,cidade,uf,lat,lon
0,72805,Luziânia,GO,-16.2535456,-47.9500276
1,26315,Queimados,RJ,-22.7156978,-43.555754
2,95480,Cambará do Sul,RS,-29.0489517,-50.145412
3,77019,Palmas,TO,-10.1837852,-48.3336423
4,96070,Pelotas,RS,-31.7699736,-52.3410161
5,85887,Matelândia,PR,-25.2404183,-53.9835004
6,16901,Andradina,SP,-20.896505,-51.3742765
7,79837,Dourados,MS,-22.2206145,-54.812208
8,17063,Bauru,SP,-22.3218102,-49.0705863
9,72901,Santo Antônio do Descoberto,GO,-15.9465415,-48.2616527
10,14820,Américo Brasiliense,SP,-21.7297099,-48.1052092
11,09770,São Bernardo do Campo,SP,-23.7080345,-46.5506747
12,88930,Turvo,SC,-28.894109999999998,-49.725390543121556
13,65260,Cedral,MA,-2.000269,-44.528114
14,29200,Guarapari,ES,-20.6718755,-40.4984617
15,59410,Barcelona,RN,-5.9514918,-35.9260284
16,65606,Caxias,MA,-4.8654201,-43.353664
17,79841,Dourados,MS,-22.2206145,-54.812208
18,75256,Senador Canedo,GO,-16.7013233,-49.0914921
19,55355,Paranatama,PE,-8.894516849999999,-36.73692078185357
20,62365,Graça,CE,-4.0453849,-40.7527195
21,94824,Alvorada,RS,-29.9981184,-51.0772509
22,38540,Abadia dos Dourados,MG,-18.3735,-47.48550892857143
23,13030,Campinas,SP,-22.90556,-47.06083
24,96415,Bagé,RS,-31.3314264,-54.1062808
25,50865,Recife,PE,-8.0584933,-34.8848193
26,74923,Aparecida de Goiânia,GO,-16.8226769,-49.2452546
27,59225,Jaçanã,RN,-6.4290483,-36.2035537
28,89906,Paraíso,SC,-26.66466365,-53.655228452019564
29,95230,Muitos Capões,RS,-28.3162856,-51.1836226
30,58180,Pedra Lavrada,PB,-6.7562744,-36.4673179
31,20540,Rio de Janeiro,RJ,-22.9110137,-43.2093727
32,32656,Betim,MG,-19.968056,-44.198333
33,76550,Porangatu,GO,-13.444663,-49.1423569
34,39505,Gameleiras,MG,-14.98209675,-43.263597746052625
35,89819,Cordilheira Alta,SC,-26.9853947,-52.603549
36,06443,Barueri,SP,-23.5112184,-46.8764612
37,11708,Praia Grande,SP,-24.005833,-46.402778
38,11606,São Sebastião,SP,-23.8027866,-45.4070527
39,98995,Porto Xavier,RS,-27.9061459,-55.1395757
40,81720,Curitiba,PR,-25.4295963,-49.2712724
41,97560,Quaraí,RS,-30.3818093,-56.4526576
42,19034,Presidente Prudente,SP,-22.1225167,-51.3882528
43,77770,Goiatins,TO,-7.7132054,-47.3154841
44,29213,Guarapari,ES,-20.6718755,-40.4984617
45,88119,São José,SC,-27.6157733,-48.6276491
46,68680,Tomé-Açu,PA,-2.4166306,-48.1522907
47,94970,Cachoeirinha,RS,-29.9493353,-51.0898927
48,29913,Linhares,ES,-19.3816944,-40.0612213
49,84178,Castro,PR,-24.794072,-49.9972914
50,91792,Porto Alegre,RS,-30.0324999,-51.2303767
51,46220,Rio do Antônio,BA,-14.4072692,-42.0766717
52,36225,Ibertioga,MG,-21.431111,-43.966111
53,44500,Castro Alves,BA,-12.7616941,-39.4281088
54,28200,São João da Barra,RJ,-21.6348588,-41.0487079
55,77017,Palmas,TO,-10.1837852,-48.3336423
56,18630,Anhembi,SP,-22.796764500000002,-48.146295431151586
57,49120,Itaporanga D'Ajuda,SE,-10.9961671,-37.3045841
58,23880,Itacurussá,RJ,-22.9096537,-43.9148788
59,13916,Jaguariúna,SP,-22.70374,-46.985062
60,58115,Puxinanã,PB,-7.1475216,-35.9613355
61,36815,Fervedouro,MG,-20.7292242,-42.2785942
62,63250,Milagres,CE,-7.3106846,-38.9447146
63,72125,Brasília,DF,-15.7934036,-47.8823172
64,23545,Rio de Janeiro,RJ,-22.9110137,-43.2093727
65,17533,Marília,SP,-22.217108,-49.95006
