,cep,cidade,uf,cep_5_digitos
0,76976970,Primavera de Rondônia,RO,76976
1,77303970,Rio da Conceição,TO,77303
2,45300970,Amargosa,BA,45300
3,55445000,Batateira,PE,55445
4,45157970,Cândido Sales,BA,45157
5,47960970,Angical,BA,47960
6,49290970,Itabaianinha,SE,49290
7,48370970,Esplanada,BA,48370
8,79785971,Angélica,MS,79785
9,58819970,Marizópolis,PB,58819
10,16250970,Clementina,SP,16250
11,89555970,Ipoméia,SC,89555
12,45540991,Gongogi,BA,45540
13,77930970,Axixá do Tocantins,TO,77930
14,83450970,Bocaiúva do Sul,PR,83450
15,78888972,Nova Ubiratã,MT,78888
16,89669970,Ipira,SC,89669
17,39590970,Juramento,MG,39590
18,69460970,Coari,AM,69460
19,70078900,Brasília,DF,70078
20,39458973,Verdelândia,MG,39458
21,59318959,Serra Negra do Norte,RN,59318
22,88140994,Santo Amaro da Imperatriz,SC,88140
23,35444971,Amparo da Serra,MG,35444
24,76812346,Porto Velho,RO,76812
25,65495970,Miranda do Norte,MA,65495
26,65927970,Davinópolis,MA,65927
27,39645971,Jenipapo de Minas,MG,39645
28,35350970,Raul Soares,MG,35350
29,77814824,Araguaína,TO,77814
30,98870970,Giruá,RS,98870
31,88150970,Águas Mornas,SC,88150
32,35670970,Mateus Leme,MG,35670
33,35640970,Pompéu,MG,35640
34,78550474,Sinop,MT,78550
35,39350974,Ibiaí,MG,39350
36,39917971,Bandeira,MG,39917
37,47940970,Wanderley,BA,47940
38,64793970,Coronel José Dias,PI,64793
39,68285970,Terra Santa,PA,68285
40,92027033,Canoas,RS,92027
41,82900010,Curitiba,PR,82900
42,40740550,Salvador,BA,40740
43,76876248,Ariquemes,RO,76876
44,76811275,Porto Velho,RO,76811
45,41262017,Salvador,BA,41262
46,49960970,Japaratuba,SE,49960
47,57180970,Barra de São Miguel,AL,57180
48,87211405,Cianorte,PR,87211
49,88138754,Palhoça,SC,88138
50,76829496,Porto Velho,RO,76829
51,38433001,Uberlândia,MG,38433
52,48590970,Coronel João Sá,BA,48590
53,63585973,São Pedro do Norte,CE,63585
54,87117080,Sarandi,PR,87117
55,39840970,Frei Gaspar,MG,39840
56,59680970,Campo Grande,RN,59680
57,23918560,Angra dos Reis,RJ,23918
58,74893026,Goiânia,GO,74893
59,55520990,Ribeirão,PE,55520
60,58582970,Santa Luzia do Cariri,PB,58582
61,57500970,Santana do Ipanema,AL,57500
62,80820102,Curitiba,PR,80820
63,40726381,Salvador,BA,40726
64,78890283,Sorriso,MT,78890
65,68040665,Santarém,PA,68040
66,29978980,Cristal do Norte,ES,29978
67,58167970,Cubati,PB,58167
68,49995959,Brejo Grande,SE,49995
69,65045520,São Luís,MA,65045
70,23097140,Rio de Janeiro,RJ,23097
71,59775970,Messias Targino,RN,59775
72,69348970,Iracema,RR,69348
73,17506000,Marília,SP,17506
74,18306025,Capão Bonito,SP,18306
75,39755973,Materlândia,MG,39755
76,35438970,Acaiaca,MG,35438
77,74605125,Goiânia,GO,74605
78,18130649,São Roque,SP,18130
79,14060686,Ribeirão Preto,SP,14060
80,70640513,Brasília,DF,70640
81,37160970,Campos Gerais,MG,37160
82,57051461,Maceió,AL,57051
83,72236500,Brasília,DF,72236
84,86900970,Jandaia do Sul,PR,86900
85,38900990,Bambuí,MG,38900
86,70650110,Brasília,DF,70650
87,85022000,Guarapuava,PR,85022
88,44032376,Feira de Santana,BA,44032
89,28463970,Paraíso do Tobias,RJ,28463
90,28500970,Cantagalo,RJ,28500
91,49630970,Siriri,SE,49630
92,25912164,Magé,RJ,25912
93,06083010,Osasco,SP,06083
94,09120070,Santo André,SP,09120
95,57608530,Palmeira dos Índios,AL,57608
96,60733430,Fortaleza,CE,60733
97,64595970,Curral Novo do Piauí,PI,64595
98,59370992,Acari,RN,59370
99,60822170,Fortaleza,CE,60822
100,32654804,Betim,MG,32654
101,81570970,Curitiba,PR,81570
102,59072879,Natal,RN,59072
103,57085812,Maceió,AL,57085
104,69901890,Rio Branco,AC,69901
105,36406473,Conselheiro Lafaiete,MG,36406
106,60830095,Fortaleza,CE,60830
107,81020230,Curitiba,PR,81020
108,27541030,Resende,RJ,27541
109,82130085,Curitiba,PR,82130
110,31035007,Belo Horizonte,MG,31035
111,76848970,Nova Califórnia,RO,76848
112,31370254,Belo Horizonte,MG,31370
113,08539000,Ferraz de Vasconcelos,SP,08539
114,84280970,Curiúva,PR,84280
